"source_genesymbol","target_genesymbol","interact"
"HDAC6","XRCC6",0
"HDAC6","MAPT",0
"HDAC6","UBD",0
"HDAC6","XPO1",0
"HDAC6","RAD23B",0
"HDAC6","CFTR",0
"HDAC6","TUBA1B",0
"HDAC6","GRK2",0
"HDAC6","RANBP9",0
"HDAC6","PKN1",0
"HDAC6","G3BP1",0
"HDAC6","APOBEC3G",0
"HDAC6","MIIP",0
"HDAC6","LCOR",0
"HDAC6","CEP70",0
"HDAC6","TRIM50",0
"FKBP1A","RYR1",0
"FKBP1A","YY1",0
"FKBP1A","DHFR",0
"RYR3","FKBP1A",0
"TNNI2","TNNT3",0
"LCK","SOCS6",0
"STX6","SNAP23",0
"CYLD","MAP3K7",0
"TRIM8","MAP3K7",0
"JAZF1","MAP3K7",0
"USP18","MAP3K7",0
"KCNQ4","KCNQ3",0
"HIST1H1A","CDK5",0
"CDK5","CDC25B",0
"HOMER1","GRM1",0
"OPTN","GRM1",0
"GRM1","ADORA1",0
"SNAP25","CENPF",0
"SRCIN1","SNAP25",0
"TRIM9","SNAP25",0
"STX12","SNAP25",0
"CLCN5","KIF3B",0
"KIF3B","ARHGEF10",0
"ACBD3","GOLGA3",0
"ACBD3","GOLGB1",0
"FAF1","IKBKB",0
"FAF1","HSPA4",0
"FAF1","NLRX1",0
"FAF1","KRR1",0
"ATP2A3","IRS1",0
"OPRM1","FLNA",0
"SMAD5","FLNA",0
"BRCA1","FLNA",0
"BRCA2","FLNA",0
"FLNA","DCN",0
"FLNA","FLNB",0
"FLNC","FLNA",0
"CALCR","FLNA",0
"KCNJ2","FLNA",0
"FLNA","F3",0
"SH2B3","FLNA",0
"FLNA","GP1BA",0
"ASB2","FLNA",0
"PHLDB2","FLNA",0
"CMIP","FLNA",0
"PDLIM2","FLNA",0
"HOMER1","TRPC1",0
"RACK1","SYT1",0
"SIN3A","SYT1",0
"S100A13","SYT1",0
"P60878","SYT1",0
"ARL1","SYT1",0
"SV2B","SYT1",0
"AGO2","RACK1",0
"RACK1","TBXA2R",0
"PLEC","RACK1",0
"RACK1","PIAS2",0
"PARK7","RACK1",0
"RACK1","TUBB",0
"RACK1","NFATC1",0
"PDE4D","RACK1",0
"RACK1","PTPRM",0
"ACTA1","VASP",0
"ERMAP","VASP",0
"PPP3CA","BCL2",0
"PPP3CA","ATP2B4",0
"PPP3CA","SOD1",0
"PPP3CA","PSMA6",0
"PPP3CA","USP14",0
"RCAN2","PPP3CA",0
"PPM1F","DIAPH1",0
"PAX6","DIAPH1",0
"DCAF7","DIAPH1",0
"CLIP1","DIAPH1",0
"FZR1","ID2",0
"ID2","MSC",0
"ASB4","ID2",0
"KIF3A","PPP1R15A",0
"KIF3A","KIF3C",0
"TRPV5","PDZD3",0
"PDZD3","CFTR",0
"PDZD3","PTGIR",0
"GRIN1","SP3",0
"GRIN1","CDH2",0
"GRIN1","NEFL",0
"GRIN1","DLG4",0
"GRIN1","PLAT",0
"GRIN3A","GRIN1",0
"PACS2","YWHAZ",0
"CTNNB1","NOS3",0
"NOS3","BDNF",0
"NOSTRIN","NOS3",0
"NOSIP","NOS3",0
"HOMER1","RYR1",0
"S100A1","RYR1",0
